,mergy.workerid,mergy.assignmentid,mergy.bonus
0,A3KP8KFGG6734Q,3JC6VJ2SABJ2B0BTG2LL7T3H907A5A,1.5
1,A1T643M1P572AA,3RWE2M8QWHAA0CJHS0KEC4RQR1JN0E,1.5
2,A1P6OXEJ86HQRM,32RIADZISS4OFDTNJXO2N1R9VN7S4X,1.5
3,A11TPUPFP2S4MK,354P56DE9K3LY0B6LVM9QDBJMPXS7H,1.5
4,A3K9GTQBOI7O5A,3GNCZX450IN64ATC0HUZ5Z8Y0DWPAP,1.5
5,A2NA2OJT15COZY,3TPZPLC3M0C6KPURR2FPIRUSU353P8,1.5
6,AGWWUXDX6CI38,3UJ1CZ6IZHP6BWXNX27CSTXNVJ2S52,1.5
7,A39VZ93N96XB6O,382M9COHEHFMMSIKX8VFBOLOT9MUEL,1.5
8,A3V8C77FN4FLUA,3I7DHKZYGN0X7RS1RI7DLUE86U65FW,1.5
9,AMPMTF5IAAMK8,3QY5DC2MXRKES6IGSJFLT66O5A1UF3,1.5
10,A2KSAAQBU5R0F6,3Z7VU45IPYH4OQIIR7Z8LWH96IXZ1W,1.5
11,AZHW79PH959WU,3634BBTX0OU9JFNGY2Q7A3IDCJ8FIJ,1.5
12,A1QT7BQZVOBSY0,3P59JYT76LKFRZRF4JA44RQXEVMT2V,1.5
13,A3CD3C99T8S6ON,3J2UYBXQQLC2TRDPTJYXAT54XR606Q,1.5
14,A31AQ9C1BOCRTR,3TMSXRD2X600UVDDGKF1MSNRQK91WX,1.5
