,mergy.workerid,mergy.assignmentid,mergy.bonus
0,A16YBLP6VWRACN,38SKSKU7R1XVJ7XCKDT55GNXB54ILJ,0.0
1,A3KJHBYLVDBQVF,39GXDJN2OTE5Q6XTPVJKF0RLZ71V87,1.25
2,A37BGU8FSIP4I6,3COPXFW7XBCCGN2YC87OZDBU8JUKPU,1.25
3,A3Q348SS5WGCV4,3KIBXJ1WD5UUVNQXX8U9AD64YEYKOD,1.25
4,A21D9YDJU8K2QI,3P4RDNWND56POH9CHSHSP1A57GZIJH,0.0
5,A35H0T0ULF4ORQ,3PXX5PX6LXY40GS2HCCYAF39M3LBAL,1.25
6,A1YTNGH5SMM2CJ,3TYCR1GOTCJHEXMMKHHR5BQN7ILZLC,1.25
7,A35KLY2Y7W5DJO,3WQQ9FUS6AUQHSZNKESKEOXEWFLB8H,1.25
8,A1FQLDWJD2E21Q,3Z7VU45IPYH4OQIIR7Z8LWH99C2Z1S,1.25
9,A1H8R5W4VMSWTS,31T4R4OBOSG5RJMAO9W9B8713GFC72,1.25
10,A2VFEDAK5C1E1O,33CUSNVVNNC7FU1GH28ANM7DO9088F,1.25
11,A1ROEDVMTO9Y3X,3CP1TO84PT1D6XGP3NS61BKJ0J7527,0.0
12,A37BGU8FSIP4I6,3IRIK4HM3AKMNJ855ZRH5U7585VC63,1.25
13,A272X64FOZFYLB,3PIWWX1FJJ6LJSTIZA2S12P5KVZJJ5,0.0
14,A2C73Y1COWCA51,3R2UR8A0IAG0FNP4WR9Y07E6UNCXOE,1.25
15,AKQAI78JTXXC9,3RJSC4XJ10U6ANDBO0OSINR43LN50N,1.25
16,AHKYVHP6591H8,3WQQ9FUS6AUQHSZNKESKEOXEWFX8BQ,0.0
17,A1969Q0R4Y0E3J,3YZ8UPK3VTM7PUY61HPKL0LLBRCUCM,1.25
